Brand,Product Name,Refurbished/New,Color ,Ram,Storage,Product Cost,Product Ratings,Product Review
Samsung, Samsung Galaxy Z Flip3  ,Refurbished,  Cream,8.00,128.00,44999.00,3.00,16.00
Samsung, Samsung Galaxy A20s ,Refurbished,  Black,4.00,64.00,5990.00,4.00,7.00
Samsung,Samsung Galaxy M32 ,New,Black  ,6.00,128.00,16999.00,4.00,62137.00
Samsung,Samsung Galaxy A04e  ,New,Light Blue ,3.00,64.00,9999.00,4.00,109.00
Samsung,Samsung Galaxy Z Flip5  ,New,Cream  ,8.00,512.00,109999.00,4.00,186.00
Samsung,SAMSUNG Galaxy S23 Ultra  ,New,Green  ,12.00,512.00,112899.00,4.00,42.00
Samsung,Samsung Galaxy S23  Smartphone,New, Phantom Black,,26.00,69000.00,4.00,45.00
Samsung,Samsung Galaxy A04s  ,New,Awesome Black  ,4.00,128.00,14999.00,5.00,1.00
Samsung, Samsung Galaxy A12 ,Refurbished,  White,4.00,64.00,9943.00,3.00,3.00
Samsung, Samsung Galaxy M31 ,Refurbished,  Space Black,6.00,128.00,8399.00,3.00,592.00
Samsung,Samsung Galaxy M52,New,ICY Blue ,8.00,128.00,28990.00,4.00,21219.00
Samsung,Samsung Galaxy A04e  ,New,Copper  ,4.00,128.00,11499.00,4.00,109.00
Samsung, Samsung Galaxy A13 ,Refurbished, Blue ,4.00,128.00,10790.00,4.00,50.00
Samsung, Samsung Galaxy M31 ,Refurbished,  Space Black,6.00,64.00,10999.00,3.00,592.00
Samsung, Samsung Galaxy A20s ,Refurbished,  Green,4.00,64.00,8999.00,4.00,7.00
Samsung, Samsung Galaxy M31s ,Refurbished,  Mirage Blue,6.00,128.00,12799.00,3.00,188.00
Samsung,Samsung Galaxy A14  ,New,Light Blue ,4.00,64.00,12999.00,4.00,57.00
Samsung,Samsung Galaxy A12  ,New,Blue  ,4.00,64.00,11990.00,4.00,2454.00
Samsung, Samsung Galaxy A23 ,Refurbished, Black ,6.00,128.00,12989.00,4.00,47.00
Samsung, Samsung Galaxy A03s ,Refurbished,  Blue,3.00,32.00,9098.00,5.00,1.00
Samsung,Samsung Galaxy Z Fold5  ,New,Cream  ,12.00,512.00,164999.00,4.00,186.00
Samsung,Samsung Galaxy On Nxt ,New,  ,,na,8990.00,4.00,4.00
Samsung, Samsung Galaxy S21 Plus,Refurbished,  Phantom Black,8.00,128.00,35946.00,4.00,63.00
Samsung, Samsung Galaxy A52s  ,Refurbished,  White,6.00,128.00,19999.00,4.00,88.00
Samsung,Samsung Galaxy A05s  ,New,Light Green ,4.00,128.00,13499.00,3.00,9.00
Samsung, Samsung Galaxy A23 ,Refurbished, Blue ,6.00,128.00,13099.00,4.00,47.00
Samsung, Samsung Galaxy A52 ,Refurbished,  Blue,8.00,128.00,20699.00,3.00,6.00
Samsung,Samsung Galaxy F34  ,New,Mistic Green ,8.00,128.00,25999.00,3.00,6.00
Samsung, Samsung Galaxy A22  ,Refurbished,  Gray,8.00,128.00,14690.00,4.00,65.00
Samsung, Samsung Galaxy S20 ,Refurbished,  Cosmic Gray,8.00,128.00,26699.00,3.00,29.00
Samsung, Samsung Galaxy F12 ,Refurbished,  Celestial Black,4.00,128.00,9298.00,3.00,12.00
Samsung, Samsung Galaxy A23  ,Refurbished,  Light Blue,6.00,128.00,15498.00,4.00,6.00
Samsung, Samsung Galaxy A12 ,Refurbished,  Blue,4.00,64.00,9599.00,4.00,13.00
Samsung, Samsung Galaxy A13 ,Refurbished, Blue ,4.00,64.00,10599.00,4.00,50.00
Samsung,Samsung Galaxy A14 ,New,Black  ,4.00,64.00,12999.00,4.00,57.00
Samsung,Samsung Galaxy M34  ,New,Waterfall Blue ,8.00,128.00,20499.00,4.00,9114.00
Samsung,Samsung Galaxy A54   ,New,Awesome Lime ,8.00,256.00,38999.00,4.00,735.00
Samsung,Samsung Galaxy A05s  ,New,Black  ,6.00,128.00,14999.00,3.00,9.00
Samsung,SAMSUNG Galaxy S23 Ultra   ,New,  Phantom Black,12.00,512.00,116899.00,5.00,53.00
Samsung,Samsung Galaxy A14   ,New,Black  ,4.00,64.00,14299.00,4.00,2.00
Samsung, Samsung Galaxy A13 ,Refurbished, Peach ,4.00,64.00,10599.00,4.00,50.00
Samsung,Samsung Galaxy A04e  ,New,Light Blue ,4.00,128.00,11499.00,4.00,109.00
Samsung,Samsung Galaxy A05  ,New,Light Green ,6.00,128.00,12499.00,4.00,109.00
Samsung,Samsung Galaxy S23 FE  ,New,Mint  ,8.00,256.00,64999.00,4.00,208.00
Samsung, Samsung Galaxy F12 ,Refurbished,  Sky Blue,6.00,128.00,8999.00,4.00,17.00
Samsung, Samsung Galaxy S21 FE  ,Refurbished,  Graphite,8.00,128.00,26999.00,4.00,82.00
Samsung, SAMSUNG Galaxy F13 ,Refurbished,  Nightsky Green,4.00,64.00,,3.00,25.00
Samsung,Samsung Galaxy S23 Ultra  ,New,Phantom Black ,12.00,256.00,99999.00,4.00,134.00
Samsung, Samsung Galaxy A22 ,Refurbished,  Black,6.00,128.00,14199.00,4.00,65.00
Samsung,Samsung Galaxy A14   ,New,Light Green ,6.00,128.00,16999.00,4.00,1362.00
Samsung,Samsung Galaxy A34   ,New,Awesome Graphite ,8.00,128.00,28999.00,4.00,1340.00
Samsung,Samsung Galaxy S23 Ultra  ,New,Green  ,12.00,256.00,124999.00,4.00,742.00
Samsung, Samsung Galaxy A14  ,Refurbished,  Black,6.00,128.00,13500.00,4.00,5.00
Samsung, Samsung Galaxy M52  ,Refurbished,  ICY Blue,6.00,128.00,17790.00,3.00,95.00
Samsung, Samsung Galaxy A03s ,Refurbished,  Blue,4.00,64.00,10059.00,5.00,4.00
Samsung,SAMSUNG Galaxy S23 FE   ,New,Mint  ,8.00,128.00,51995.00,3.00,6.00
Samsung,Samsung Galaxy On Nxt  ,New,Gold,3.00,64.00,8990.00,4.00,13.00
Samsung, Samsung Galaxy S23  ,Refurbished,  Lavender,8.00,128.00,54921.00,4.00,13.00
Samsung, Samsung Galaxy A03 ,Refurbished, Blue ,3.00,32.00,6980.00,2.00,7.00
Samsung, Samsung Galaxy M12 ,Refurbished,  Black,4.00,64.00,9990.00,4.00,99.00
Samsung, Samsung Galaxy A73  ,Refurbished,Awesome Gray,8.00,256.00,29999.00,4.00,1.00
Samsung,Samsung Galaxy S23 Ultra  ,New,Cream  ,12.00,256.00,124999.00,4.00,742.00
Samsung, Samsung Galaxy M21   ,Refurbished, Charcoal Black,4.00,64.00,7990.00,4.00,10.00
Samsung,SAMSUNG Galaxy S23 FE   ,New,Graphite  ,8.00,256.00,49990.00,3.00,6.00
Samsung, Samsung Galaxy A23 ,Refurbished, Black ,8.00,128.00,13799.00,4.00,47.00
Samsung, Samsung Galaxy A32 ,Refurbished,  Awesome Blue ,8.00,128.00,15999.00,4.00,47.00
Samsung, Samsung Galaxy M32 ,Refurbished,  Light Blue,6.00,128.00,15790.00,4.00,47.00
Samsung, Samsung Galaxy S20 Ultra ,Refurbished,  Cosmic Gray,12.00,128.00,39999.00,3.00,32.00
Samsung, Samsung Galaxy A33  ,Refurbished, Orange ,6.00,128.00,17790.00,3.00,13.00
Samsung,Samsung Galaxy S23 Ultra  ,New,Green  ,12.00,256.00,98700.00,4.00,38.00
Samsung, Samsung Galaxy A23 ,Refurbished, Blue ,8.00,128.00,13740.00,4.00,47.00
Samsung, Samsung Galaxy A14  ,Refurbished,  Dark Red,6.00,128.00,14296.00,4.00,6.00
Samsung, Samsung Galaxy M30s ,Refurbished,  Blue,4.00,64.00,13299.00,3.00,134.00
Samsung,SAMSUNG F34   ,New,Electric Black ,6.00,128.00,17990.00,3.00,134.00
Samsung, Samsung Galaxy S20 + ,Refurbished,  Cosmic Black,8.00,128.00,29399.00,3.00,34.00
Samsung, Samsung Galaxy F62 ,Refurbished,  Laser Grey,8.00,128.00,15399.00,3.00,25.00
Samsung, Samsung Galaxy A12 ,Refurbished,  Blue,4.00,128.00,,1.00,1.00
Samsung, Samsung Galaxy A23  ,Refurbished,  Light Blue,8.00,128.00,18700.00,2.00,3.00
Samsung, Samsung Galaxy A13 ,Refurbished, Black ,4.00,64.00,10474.00,4.00,50.00
Samsung,Samsung Galaxy M21   ,New,Charcoal Black,6.00,128.00,14999.00,4.00,237643.00
Samsung, Samsung Galaxy F14  ,Refurbished,  Goat Green,6.00,128.00,12900.00,5.00,2.00
Samsung,Samsung Galaxy Z Fold4   ,New,Beige  ,12.00,256.00,139999.00,2.00,144.00
Samsung,Samsung Galaxy S21 FE   ,New,  Lavender,8.00,256.00,34840.00,4.00,4.00
Samsung,SAMSUNG Galaxy Z Flip5,New,  ,,na,12580.00,4.00,4.00
Samsung,Samsung Galaxy S21 FE   ,New,Graphite  ,8.00,256.00,34805.00,4.00,19.00
Samsung, Samsung Galaxy M02s ,Refurbished,  Red,4.00,64.00,7999.00,4.00,12.00
Samsung,Samsung Galaxy S23 Ultra  ,New,Cream  ,12.00,256.00,101999.00,4.00,24.00
Samsung,Samsung Galaxy A34   ,New,Awesome Violet ,8.00,256.00,29990.00,4.00,13.00
Samsung, Samsung Galaxy A34  ,Refurbished,  Awesome Violet,8.00,128.00,19699.00,4.00,3.00
Samsung, Samsung Galaxy A30s ,Refurbished,  Prism Crush White,4.00,64.00,9899.00,4.00,53.00
Samsung,Samsung Galaxy Note 20 Ultra   ,New,Mystic Black,12.00,256.00,76499.00,4.00,610.00
Samsung,Samsung Galaxy S21 Plus  ,New,Phantom Black ,8.00,128.00,49999.00,4.00,533.00
Samsung, Samsung Galaxy A51 ,Refurbished,  Blue,6.00,128.00,11990.00,3.00,54.00
Samsung, Samsung Galaxy M13 ,Refurbished,  Stardust Brown,4.00,64.00,,4.00,155.00
Samsung, Samsung Galaxy F23  ,Refurbished,  Forest Green,6.00,128.00,15999.00,3.00,16.00
Samsung, Samsung Galaxy A14 ,Refurbished, Black ,4.00,4.00,11049.00,5.00,2.00
Samsung,Samsung Galaxy Z Flip3   ,New,Phantom Black ,8.00,128.00,,4.00,314.00
Samsung, Samsung Galaxy F41 ,Refurbished,  Fusion Black,6.00,128.00,,3.00,101.00
Samsung, Samsung Galaxy M12 ,Refurbished,  Blue,4.00,64.00,8690.00,3.00,120.00
Samsung, Samsung Galaxy A14  ,Refurbished,  Black,8.00,128.00,16144.00,4.00,2.00
Samsung, Samsung Galaxy A34  ,Refurbished,  Awesome Lime,8.00,128.00,23989.00,4.00,2.00
